modelo_interes_texto,tipo_match,skus_candidatos
Suzuki V-Strom 250 2026,directo,SKU-015
Suzuky GN 125,directo,SKU-013
Suzuky Gixxer 150,directo,SKU-014
Suzuky V-Strom 250,directo,SKU-015
TTR 200,directo,SKU-019
V-Strom 250,directo,SKU-015
XR 150L,directo,SKU-002
XRE 300,directo,SKU-006
Xpulse 200,directo,SKU-023
akt dynamic r3 125,directo,SKU-018
akt evo rs 150,directo,SKU-020
akt nkd 125,directo,SKU-017
akt ttr 200,directo,SKU-019
bajaj boxer ct 100,directo,SKU-007
bajaj discover 125,directo,SKU-012
bajaj dominar 400,directo,SKU-011
bajaj pulsar ns 125,directo,SKU-008
bajaj pulsar ns 160,directo,SKU-009
bajaj pulsar rs 200,directo,SKU-010
hero dash 110,directo,SKU-024
hero eco deluxe 100,directo,SKU-021
hero hunk 160r,directo,SKU-022
hero xpulse 200,directo,SKU-023
honda cb 125f twister,directo,SKU-001
honda cb 190r,directo,SKU-003
honda dio 110,directo,SKU-005
honda navi,directo,SKU-004
honda xr 150l,directo,SKU-002
honda xre 300,directo,SKU-006
suzuki best 125,directo,SKU-016
suzuki gixxer 150,directo,SKU-014
suzuki gn 125,directo,SKU-013
suzuki v-strom 250,directo,SKU-015
